i:161, rate:1800, w: 0, P99: 553.0113527309188
i:162, rate:3800, w: 6, P99: 1146.6717244877061
i:163, rate:1400, w: 0, P99: 311.19603708274053
i:164, rate:1600, w: 0, P99: 428.1107887088672
i:165, rate:2200, w: 0, P99: 865.388731791893
i:166, rate:1200, w: 0, P99: 265.69508413801617
i:167, rate:4600, w: 6, P99: 1191.3396295092648
i:168, rate:800, w: 0, P99: 186.25486978577794
i:169, rate:2200, w: 0, P99: 901.4257444962051
i:170, rate:4200, w: 6, P99: 1179.443096316295
i:171, rate:3000, w: 6, P99: 1076.905893992188
i:172, rate:3600, w: 6, P99: 1138.4973929733255
i:173, rate:2600, w: 6, P99: 1032.1179403292215
i:174, rate:600, w: 0, P99: 163.71636010195712
i:175, rate:3000, w: 6, P99: 1079.0113808162678
i:176, rate:3400, w: 6, P99: 1118.9909015882079
i:177, rate:3200, w: 6, P99: 1097.5464055366608
i:178, rate:1800, w: 0, P99: 525.8917295370314
i:179, rate:2000, w: 0, P99: 704.2467545847567
i:180, rate:1400, w: 0, P99: 345.20724783353563
i:181, rate:1600, w: 0, P99: 418.08666961131837
i:182, rate:3600, w: 6, P99: 1129.572220082755
i:183, rate:1000, w: 0, P99: 215.45403104448133
i:184, rate:4600, w: 6, P99: 1192.241640176303
i:185, rate:600, w: 0, P99: 163.87193569059988
i:186, rate:3200, w: 6, P99: 1097.7848497563234
i:187, rate:1200, w: 0, P99: 263.732554256728
i:188, rate:3800, w: 6, P99: 1149.4073821307802
i:189, rate:4400, w: 6, P99: 1181.7918389711683
i:190, rate:1600, w: 0, P99: 440.7381596927687
i:191, rate:1400, w: 5, P99: 908.134119266959
i:192, rate:4600, w: 6, P99: 1189.3422902088262
i:193, rate:800, w: 0, P99: 185.69957422991456
i:194, rate:1800, w: 0, P99: 518.8750984639867
i:195, rate:2000, w: 0, P99: 707.3002511372214
i:196, rate:2400, w: 6, P99: 1005.1286062839564
i:197, rate:4800, w: 6, P99: 1202.5196323554328
i:198, rate:3400, w: 6, P99: 1110.8392676079982
i:199, rate:3200, w: 6, P99: 1094.9381546339678
i:200, rate:3800, w: 6, P99: 1147.126753609663
i:201, rate:2200, w: 5, P99: 1032.2713043905082
i:202, rate:1200, w: 0, P99: 269.9384292089624
i:203, rate:4000, w: 6, P99: 1156.7800749450648
i:204, rate:2600, w: 6, P99: 1032.1839117410423
i:205, rate:400, w: 0, P99: 133.04786068394813
i:206, rate:1600, w: 0, P99: 422.203247154004
i:207, rate:2000, w: 0, P99: 688.3641763750271
i:208, rate:2600, w: 6, P99: 1038.4046826155488
i:209, rate:3400, w: 6, P99: 1118.0698324998525
i:210, rate:1000, w: 6, P99: 815.0910589058221
i:211, rate:4000, w: 6, P99: 1162.8452921587261
i:212, rate:1800, w: 0, P99: 530.3351803124184
i:213, rate:4200, w: 6, P99: 1170.043319474603
i:214, rate:4400, w: 6, P99: 1182.8373891506387
i:215, rate:4800, w: 6, P99: 1201.7079124983973
i:216, rate:3000, w: 6, P99: 1080.035899919626
i:217, rate:2800, w: 6, P99: 1057.685139938103
i:218, rate:2000, w: 0, P99: 707.6239247378409
i:219, rate:1000, w: 6, P99: 817.7569471569451
i:220, rate:2800, w: 6, P99: 1057.499253292687
i:221, rate:4400, w: 6, P99: 1185.1922578208862
i:222, rate:800, w: 6, P99: 776.6054883473022
i:223, rate:3600, w: 6, P99: 1131.2921908181893
i:224, rate:2800, w: 6, P99: 1056.7312834593527
i:225, rate:3800, w: 6, P99: 1147.478419549067
i:226, rate:4200, w: 6, P99: 1170.4252425763173
i:227, rate:3800, w: 6, P99: 1148.8456073206642
i:228, rate:3000, w: 6, P99: 1076.1619308973166
i:229, rate:1600, w: 0, P99: 407.4429564499014
i:230, rate:1200, w: 0, P99: 258.5879268785584
i:231, rate:2200, w: 0, P99: 886.5053104843771
i:232, rate:400, w: 0, P99: 135.25964664016178
i:233, rate:2000, w: 5, P99: 1005.5572715242223
i:234, rate:1400, w: 0, P99: 326.2166123907389
i:235, rate:600, w: 6, P99: 700.3007815577281
i:236, rate:3400, w: 6, P99: 1120.5714576723335
i:237, rate:600, w: 6, P99: 716.423592712837
i:238, rate:4600, w: 6, P99: 1190.3762504537426
i:239, rate:2400, w: 6, P99: 1009.8671955004459
i:240, rate:1400, w: 0, P99: 327.09305625593015
i:241, rate:3000, w: 6, P99: 1079.6809405476395
i:242, rate:2000, w: 0, P99: 680.5335791995948
i:243, rate:3800, w: 6, P99: 1145.5656102730704
i:244, rate:1400, w: 0, P99: 332.9961672665871
i:245, rate:3800, w: 6, P99: 1146.5140896886667
i:246, rate:1600, w: 0, P99: 409.73210542088225
i:247, rate:3800, w: 6, P99: 1146.6201817033966
i:248, rate:3800, w: 6, P99: 1150.2759404984342
i:249, rate:3600, w: 6, P99: 1131.4694981930322
i:250, rate:4200, w: 6, P99: 1174.8955943318142
i:251, rate:2000, w: 0, P99: 688.5357319140849
i:252, rate:4200, w: 6, P99: 1170.2934391425993
i:253, rate:400, w: 0, P99: 136.8191973678388
i:254, rate:1400, w: 0, P99: 342.9583367630105
i:255, rate:2600, w: 6, P99: 1038.853517397932
i:256, rate:3800, w: 6, P99: 1148.1799238799574
i:257, rate:3800, w: 6, P99: 1149.495293461128
