5.0
i:183, rate:1700, w: 1, P99: 1224.8665306924136
5.0
i:184, rate:900, w: 0, P99: 542.1448313080375
i:185, rate:1700, w: 1, P99: 1223.3588236155367
i:186, rate:1500, w: 1, P99: 1216.8979823429704
5.0
i:187, rate:700, w: 0, P99: 329.82448969169957
i:188, rate:2000, w: 1, P99: 1236.8174869179734
5.0
i:189, rate:200, w: 0, P99: 134.41552604248804
i:190, rate:2300, w: 1, P99: 1233.4611707340746
i:191, rate:1500, w: 1, P99: 1215.328787947264
i:192, rate:2000, w: 1, P99: 1228.0731668001413
i:193, rate:1400, w: 1, P99: 1212.0106526712627
5.0
i:194, rate:1100, w: 0, P99: 889.8580819383748
3.6125000000000007
i:195, rate:700, w: 0, P99: 340.4581420489104
2.6100312500000005
i:196, rate:500, w: 0, P99: 224.8944858776049
i:197, rate:2000, w: 1, P99: 1234.4394819505742
i:198, rate:1300, w: 1, P99: 1200.7825619308776
5.0
i:199, rate:900, w: 0, P99: 518.0557587409604
3.0706249999999997
i:200, rate:700, w: 0, P99: 323.6183762388276
i:201, rate:2300, w: 1, P99: 1235.8516926532377
i:202, rate:2300, w: 2, P99: 1241.2417715589525
i:203, rate:2100, w: 1, P99: 1236.1933114138824
5.0
i:204, rate:1200, w: 0, P99: 1123.1260882393765
i:205, rate:1500, w: 1, P99: 1213.671942670979
i:206, rate:1700, w: 1, P99: 1221.0892901223172
5.0
i:207, rate:400, w: 0, P99: 182.59555117696368
i:208, rate:2100, w: 1, P99: 1231.1869224636514
i:209, rate:2200, w: 2, P99: 1225.6993437742524
i:210, rate:1100, w: 1, P99: 1181.0077081870497
i:211, rate:2200, w: 1, P99: 1236.4939691189088
i:212, rate:2400, w: 2, P99: 1233.7097712545644
i:213, rate:1300, w: 3, P99: 1154.9941494227257
i:214, rate:500, w: 2, P99: 991.4713612340206
i:215, rate:300, w: 1, P99: 921.9657370016018
5.0
i:216, rate:500, w: 0, P99: 216.79280182841575
i:217, rate:1800, w: 1, P99: 1229.851305575298
i:218, rate:1900, w: 1, P99: 1229.6924625328727
5.0
i:219, rate:1200, w: 0, P99: 1069.5872286150661
5.0
i:220, rate:1100, w: 0, P99: 904.2911367595592
i:221, rate:2100, w: 1, P99: 1229.5820804406737
5.0
i:222, rate:400, w: 0, P99: 184.7417074429847
i:223, rate:1600, w: 1, P99: 1222.5746769123427
i:224, rate:1900, w: 1, P99: 1229.4946197706975
i:225, rate:2400, w: 1, P99: 1243.3752000803113
5.0
i:226, rate:600, w: 0, P99: 262.64738703676994
i:227, rate:1800, w: 1, P99: 1224.2359703122945
5.0
i:228, rate:1200, w: 0, P99: 1123.3634544488937
2.6100312500000005
i:229, rate:700, w: 0, P99: 331.8375129057953
i:230, rate:1400, w: 1, P99: 1212.8436807025598
5.0
i:231, rate:300, w: 0, P99: 160.3423926982049
i:232, rate:1800, w: 1, P99: 1230.9698112681629
5.0
i:233, rate:200, w: 0, P99: 135.85972185367433
2.2185265624999992
i:234, rate:400, w: 0, P99: 183.10003305847496
i:235, rate:900, w: 1, P99: 1160.1334878628918
5.0
i:236, rate:900, w: 0, P99: 551.3876693811163
2.2185265624999992
i:237, rate:700, w: 0, P99: 320.12047190624264
4.25
i:238, rate:1100, w: 0, P99: 872.3843961380209
i:239, rate:1600, w: 1, P99: 1224.3209902367203
5.0
i:240, rate:400, w: 0, P99: 188.74923853176404
1.8857475781249988
i:241, rate:500, w: 0, P99: 217.0160643713944
i:242, rate:1700, w: 1, P99: 1222.5167181973843
i:243, rate:1900, w: 1, P99: 1233.4488468937227
5.0
i:244, rate:500, w: 0, P99: 218.80293514039795
1.602885441406249
i:245, rate:500, w: 0, P99: 218.64470323702264
5.49840380492199
i:246, rate:1300, w: 0, P99: 1298.8158873528876
i:247, rate:2200, w: 1, P99: 1237.577100093796
5.0
i:248, rate:600, w: 0, P99: 257.7021516100998
4.25
i:249, rate:700, w: 0, P99: 335.09844612175635
i:250, rate:2400, w: 1, P99: 1235.5626412635793
i:251, rate:2300, w: 1, P99: 1235.5674610710446
5.0
i:252, rate:600, w: 0, P99: 258.6488689584524
i:253, rate:2200, w: 1, P99: 1235.764299995097
5.0
i:254, rate:1000, w: 0, P99: 673.8899599387971
i:255, rate:1700, w: 1, P99: 1219.3332457549368
5.0
i:256, rate:1200, w: 0, P99: 1104.1382923406513
i:257, rate:2200, w: 1, P99: 1233.0647400853695
i:258, rate:2100, w: 1, P99: 1230.4717346094278
i:259, rate:1700, w: 1, P99: 1224.207618174294
i:260, rate:1600, w: 1, P99: 1220.8433105073454
5.0
i:261, rate:1100, w: 0, P99: 875.322667317433
i:262, rate:1400, w: 1, P99: 1207.6506161236964
i:263, rate:1700, w: 1, P99: 1229.4278885850947
i:264, rate:1500, w: 1, P99: 1211.909909414197
5.438642112519618
i:265, rate:1300, w: 0, P99: 1293.8710250962454
3.6125000000000007
i:266, rate:700, w: 0, P99: 325.5028014796306
1.8857475781249988
i:267, rate:700, w: 0, P99: 333.6179726327912
i:268, rate:1900, w: 1, P99: 1230.9915961666632
i:269, rate:2000, w: 1, P99: 1231.1499157367898
i:270, rate:2100, w: 1, P99: 1228.5064341595348
5.0
i:271, rate:900, w: 0, P99: 525.666608736408
3.0706249999999997
i:272, rate:800, w: 0, P99: 412.97078199731226
i:273, rate:1800, w: 1, P99: 1228.707101675359
i:274, rate:1100, w: 2, P99: 1157.6615373963602
i:275, rate:1200, w: 1, P99: 1196.5271142124352
5.0
i:276, rate:1000, w: 0, P99: 683.5040183727453
i:277, rate:2300, w: 1, P99: 1233.4553016037896
i:278, rate:2000, w: 1, P99: 1234.0074834209825
5.0
i:279, rate:500, w: 0, P99: 217.72845561100812
3.0706249999999997
i:280, rate:1000, w: 0, P99: 667.2153533467917
3.0706249999999997
i:281, rate:900, w: 0, P99: 559.3909126493617
4.25
i:282, rate:300, w: 0, P99: 162.12739223189578
4.25
i:283, rate:1200, w: 0, P99: 1108.8908158759855
i:284, rate:2400, w: 1, P99: 1235.5481687644428
i:285, rate:2000, w: 2, P99: 1227.8971365317605
i:286, rate:900, w: 1, P99: 1160.682033731269
i:287, rate:2200, w: 1, P99: 1234.3570567751733
5.0
i:288, rate:200, w: 0, P99: 135.31816453982938
i:289, rate:2200, w: 1, P99: 1232.081807866926
i:290, rate:2400, w: 1, P99: 1234.1951487981496
i:291, rate:2300, w: 1, P99: 1234.802765141603
i:292, rate:800, w: 2, P99: 1102.7995276762454
i:293, rate:900, w: 2, P99: 1122.688685510785
i:294, rate:1100, w: 1, P99: 1182.0182310285786
i:295, rate:2400, w: 1, P99: 1239.010905990615
5.0
i:296, rate:500, w: 0, P99: 220.27186242300314
2.6100312500000005
i:297, rate:800, w: 0, P99: 419.4260735303151
i:298, rate:2100, w: 1, P99: 1231.3283050724979
5.0
i:299, rate:500, w: 0, P99: 217.26853485868568
i:300, rate:1700, w: 1, P99: 1223.0454508459231
5.0
i:301, rate:600, w: 0, P99: 279.9850533724918
5.4970301237771295
i:302, rate:1300, w: 0, P99: 1287.9012852473834
i:303, rate:2400, w: 1, P99: 1232.169980736898
5.0
i:304, rate:1000, w: 0, P99: 698.8489348053491
i:305, rate:2200, w: 1, P99: 1234.4632930303367
