i:223, rate:1500, w: 6, P99: 1078.6703986490977
i:224, rate:1900, w: 6, P99: 1146.5676980625851
i:225, rate:1700, w: 6, P99: 1113.5024174700843
i:226, rate:1000, w: 0, P99: 674.9916171631825
i:227, rate:1100, w: 0, P99: 861.4735796215641
i:228, rate:2400, w: 6, P99: 1200.4136782096623
i:229, rate:2000, w: 6, P99: 1157.1448348472254
i:230, rate:2000, w: 6, P99: 1161.8712411324557
i:231, rate:2100, w: 6, P99: 1167.3469239497704
i:232, rate:1500, w: 6, P99: 1072.8292801506166
i:233, rate:1000, w: 0, P99: 722.5781331851731
i:234, rate:1200, w: 6, P99: 1005.1542597669138
i:235, rate:500, w: 0, P99: 209.26259442334816
i:236, rate:1000, w: 0, P99: 686.0756068819883
i:237, rate:600, w: 0, P99: 251.78780462907176
i:238, rate:900, w: 0, P99: 526.0716215722961
i:239, rate:2300, w: 6, P99: 1191.7150691258382
i:240, rate:1100, w: 0, P99: 907.2430328506737
i:241, rate:800, w: 0, P99: 411.45257579011763
i:242, rate:1000, w: 0, P99: 724.8379954637226
i:243, rate:800, w: 0, P99: 407.73997688991193
i:244, rate:2000, w: 6, P99: 1160.8118430385919
i:245, rate:1400, w: 6, P99: 1053.6416867293947
i:246, rate:1800, w: 6, P99: 1126.8326284658285
i:247, rate:800, w: 0, P99: 412.8958105226086
i:248, rate:2300, w: 6, P99: 1188.8228353675781
i:249, rate:2100, w: 6, P99: 1168.7896552201034
i:250, rate:200, w: 0, P99: 135.40054659857188
i:251, rate:2400, w: 6, P99: 1203.1981575046834
i:252, rate:500, w: 5, P99: 833.6205408080771
i:253, rate:1000, w: 0, P99: 715.8730184677052
i:254, rate:1400, w: 6, P99: 1055.8810746973545
i:255, rate:1000, w: 0, P99: 654.5029831248333
i:256, rate:700, w: 0, P99: 319.06397016903867
i:257, rate:1300, w: 6, P99: 1033.0929354310613
i:258, rate:2000, w: 6, P99: 1161.9011247826031
i:259, rate:1700, w: 6, P99: 1115.7091421743353
i:260, rate:1200, w: 6, P99: 1011.4490051327991
i:261, rate:900, w: 0, P99: 541.1961049008429
i:262, rate:800, w: 0, P99: 402.89828029339424
i:263, rate:800, w: 0, P99: 423.123057840698
i:264, rate:900, w: 0, P99: 536.5016787981652
i:265, rate:1400, w: 6, P99: 1052.8942193510316
i:266, rate:900, w: 6, P99: 932.9787880207081
i:267, rate:1100, w: 0, P99: 892.9963461792955
i:268, rate:1100, w: 0, P99: 901.2020509640923
i:269, rate:1900, w: 6, P99: 1147.0214262265579
i:270, rate:400, w: 0, P99: 182.27056865505426
i:271, rate:400, w: 0, P99: 191.84794834663126
i:272, rate:200, w: 0, P99: 137.71103301400717
i:273, rate:1000, w: 0, P99: 679.0264378882501
i:274, rate:300, w: 0, P99: 161.65973349771718
i:275, rate:700, w: 0, P99: 320.79859746506804
i:276, rate:1800, w: 6, P99: 1129.6744661656114
i:277, rate:600, w: 0, P99: 268.4144385932043
i:278, rate:600, w: 0, P99: 264.8530132114122
i:279, rate:2100, w: 6, P99: 1169.2741194833968
i:280, rate:1200, w: 6, P99: 1002.3068769381005
i:281, rate:1500, w: 6, P99: 1068.1671852540708
i:282, rate:1000, w: 0, P99: 733.9262461771289
i:283, rate:1200, w: 6, P99: 1009.2332584153296
i:284, rate:600, w: 0, P99: 269.7588216968131
i:285, rate:2000, w: 6, P99: 1153.1536541055204
i:286, rate:2100, w: 6, P99: 1164.2534824327165
i:287, rate:1600, w: 6, P99: 1094.422545507378
i:288, rate:1100, w: 0, P99: 874.6645642590939
i:289, rate:900, w: 0, P99: 515.8885972907577
i:290, rate:1700, w: 6, P99: 1118.665988176738
i:291, rate:2100, w: 6, P99: 1170.3824222210226
i:292, rate:1100, w: 0, P99: 899.4828937187714
i:293, rate:2000, w: 6, P99: 1163.6972717536535
i:294, rate:500, w: 0, P99: 221.23617076275264
i:295, rate:1600, w: 6, P99: 1100.7068534352325
i:296, rate:2300, w: 6, P99: 1185.3662331798791
i:297, rate:1100, w: 0, P99: 865.8688752782654
i:298, rate:700, w: 0, P99: 321.4220361361642
i:299, rate:1900, w: 6, P99: 1144.967145837598
i:300, rate:1100, w: 0, P99: 906.9332493250133
i:301, rate:200, w: 0, P99: 132.18343667172988
i:302, rate:1000, w: 0, P99: 692.9508133527953
i:303, rate:2200, w: 6, P99: 1191.3005049382052
i:304, rate:1500, w: 6, P99: 1076.4428869107146
i:305, rate:600, w: 0, P99: 244.0869727518486
i:306, rate:1600, w: 6, P99: 1098.1721812640671
i:307, rate:1800, w: 6, P99: 1133.4495576445343
i:308, rate:1800, w: 6, P99: 1131.8772946463548
i:309, rate:1600, w: 6, P99: 1098.3871175890672
i:310, rate:1600, w: 6, P99: 1091.3132661535
i:311, rate:1600, w: 6, P99: 1098.2750437518005
i:312, rate:1600, w: 6, P99: 1099.1260664390218
i:313, rate:1900, w: 6, P99: 1143.355990020739
i:314, rate:1900, w: 6, P99: 1144.7184101252628
i:315, rate:1200, w: 6, P99: 1003.6774519047505
i:316, rate:1400, w: 6, P99: 1057.2226929722
i:317, rate:1600, w: 6, P99: 1098.3451754123496
i:318, rate:200, w: 0, P99: 133.7825867435068
i:319, rate:700, w: 0, P99: 320.4300998979047
i:320, rate:1700, w: 6, P99: 1112.4821880253635
i:321, rate:2000, w: 6, P99: 1160.6223106114678
i:322, rate:2000, w: 6, P99: 1163.879167187638
i:323, rate:2000, w: 6, P99: 1158.6400484634248
i:324, rate:700, w: 0, P99: 323.681112989021
i:325, rate:1700, w: 6, P99: 1116.0845445708067
i:326, rate:1500, w: 6, P99: 1078.0838587829578
i:327, rate:600, w: 0, P99: 260.95422155146133
i:328, rate:1300, w: 6, P99: 1034.9550254602748
i:329, rate:1300, w: 6, P99: 1033.4965564873544
i:330, rate:800, w: 0, P99: 408.71987035868574
i:331, rate:400, w: 5, P99: 786.4107676378616
i:332, rate:2300, w: 6, P99: 1190.4916266648124
i:333, rate:300, w: 0, P99: 162.2153305667154
i:334, rate:400, w: 0, P99: 188.99127356765362
i:335, rate:1000, w: 0, P99: 684.405079766332
i:336, rate:600, w: 0, P99: 260.9020763107831
i:337, rate:1000, w: 5, P99: 1006.1990815990936
i:338, rate:2100, w: 6, P99: 1173.1673454553488
i:339, rate:1800, w: 6, P99: 1135.3463724432065
i:340, rate:2100, w: 6, P99: 1173.111193182796
i:341, rate:300, w: 0, P99: 163.65409057810112
i:342, rate:2300, w: 6, P99: 1193.4993053335284
i:343, rate:2400, w: 6, P99: 1198.5352256264582
i:344, rate:500, w: 0, P99: 221.95425773976444
i:345, rate:1600, w: 6, P99: 1094.694659942882
i:346, rate:2400, w: 6, P99: 1199.9563683373146
i:347, rate:400, w: 0, P99: 184.4764974138247
i:348, rate:600, w: 0, P99: 275.6054576172653
i:349, rate:500, w: 0, P99: 223.3208157492487
i:350, rate:1400, w: 6, P99: 1055.825765056498
i:351, rate:1800, w: 6, P99: 1130.098290717582
i:352, rate:1700, w: 6, P99: 1113.3303209146873
i:353, rate:1500, w: 6, P99: 1081.6448411255046
i:354, rate:2400, w: 6, P99: 1205.2328039106799
i:355, rate:500, w: 0, P99: 216.01663852055523
i:356, rate:1100, w: 0, P99: 865.8986264623422
i:357, rate:300, w: 0, P99: 162.53950714844157
i:358, rate:1500, w: 6, P99: 1082.1127423875223
i:359, rate:200, w: 0, P99: 132.33034400072697
i:360, rate:1000, w: 0, P99: 725.0609389079914
i:361, rate:600, w: 0, P99: 259.02261851431007
i:362, rate:300, w: 0, P99: 162.0339488800036
i:363, rate:300, w: 0, P99: 164.3101851334
i:364, rate:800, w: 0, P99: 443.7240269036198
i:365, rate:1600, w: 6, P99: 1093.334674300058
i:366, rate:1200, w: 6, P99: 1006.6508504464625
i:367, rate:800, w: 0, P99: 412.6227947319787
i:368, rate:500, w: 0, P99: 210.48660746627348
i:369, rate:1700, w: 6, P99: 1119.1746552665184
i:370, rate:1200, w: 6, P99: 1012.7965197331009
i:371, rate:1400, w: 6, P99: 1056.0376500254913
i:372, rate:500, w: 0, P99: 219.0532772204709
i:373, rate:2100, w: 6, P99: 1175.7509687077074
i:374, rate:700, w: 0, P99: 341.0815498360843
i:375, rate:600, w: 0, P99: 259.8348168922598
i:376, rate:1600, w: 6, P99: 1095.3300088748463
i:377, rate:1700, w: 6, P99: 1122.9959701553296
i:378, rate:2200, w: 6, P99: 1182.3104945900118
i:379, rate:700, w: 5, P99: 911.9208624360015
i:380, rate:1600, w: 6, P99: 1093.578689728459
i:381, rate:1900, w: 6, P99: 1148.7806416566814
i:382, rate:400, w: 0, P99: 185.81221782597814
i:383, rate:1900, w: 6, P99: 1146.9049789364415
